Long,Lat,BATHY
10.5,89.5,4157.4805
11.5,89.5,4157.4805
12.5,89.5,4157.4805
13.5,89.5,4157.4805
14.5,89.5,4157.4805
15.5,89.5,4157.4805
16.5,89.5,4157.4805
17.5,89.5,4157.4805
18.5,89.5,4157.4805
19.5,89.5,4157.4805
20.5,89.5,4157.4805
21.5,89.5,4157.4805
22.5,89.5,4157.4805
23.5,89.5,4157.4805
24.5,89.5,4157.4805
25.5,89.5,4157.4805
26.5,89.5,4157.4805
27.5,89.5,4157.4805
28.5,89.5,4157.4805
29.5,89.5,4157.4805
30.5,89.5,4157.4805
31.5,89.5,4157.4805
32.5,89.5,4157.4805
33.5,89.5,4157.4805
34.5,89.5,4188.9766
35.5,89.5,4188.9766
36.5,89.5,4188.9766
37.5,89.5,4188.9766
38.5,89.5,4188.9766
39.5,89.5,4188.9766
40.5,89.5,4188.9766
41.5,89.5,4188.9766
42.5,89.5,4188.9766
43.5,89.5,4188.9766
44.5,89.5,4188.9766
45.5,89.5,4188.9766
46.5,89.5,4220.4727
47.5,89.5,4220.4727
48.5,89.5,4188.9766
49.5,89.5,4188.9766
50.5,89.5,4188.9766
51.5,89.5,4188.9766
52.5,89.5,4188.9766
53.5,89.5,4188.9766
54.5,89.5,4188.9766
55.5,89.5,4188.9766
56.5,89.5,4188.9766
57.5,89.5,4188.9766
58.5,89.5,4188.9766
59.5,89.5,4188.9766
60.5,89.5,4188.9766
61.5,89.5,4188.9766
62.5,89.5,4188.9766
63.5,89.5,4188.9766
64.5,89.5,4188.9766
65.5,89.5,4188.9766
66.5,89.5,4188.9766
67.5,89.5,4188.9766
68.5,89.5,4188.9766
69.5,89.5,4188.9766
70.5,89.5,4188.9766
71.5,89.5,4188.9766
72.5,89.5,4188.9766
73.5,89.5,4188.9766
74.5,89.5,4188.9766
75.5,89.5,4188.9766
76.5,89.5,4188.9766
77.5,89.5,4188.9766
78.5,89.5,4188.9766
79.5,89.5,4188.9766
80.5,89.5,4188.9766
81.5,89.5,4188.9766
82.5,89.5,4188.9766
83.5,89.5,4188.9766
84.5,89.5,4188.9766
85.5,89.5,4188.9766
86.5,89.5,4188.9766
87.5,89.5,4188.9766
88.5,89.5,4188.9766
89.5,89.5,4188.9766
90.5,89.5,4188.9766
91.5,89.5,4188.9766
92.5,89.5,4157.4805
93.5,89.5,4157.4805
94.5,89.5,4157.4805
95.5,89.5,4157.4805
96.5,89.5,4157.4805
97.5,89.5,4157.4805
98.5,89.5,4125.9844
99.5,89.5,4125.9844
100.5,89.5,4125.9844
101.5,89.5,4125.9844
102.5,89.5,4125.9844
103.5,89.5,4094.4883
104.5,89.5,4094.4883
105.5,89.5,4094.4883
106.5,89.5,4125.9844
107.5,89.5,4125.9844
108.5,89.5,4157.4805
109.5,89.5,4157.4805
110.5,89.5,4157.4805
111.5,89.5,4157.4805
112.5,89.5,4157.4805
113.5,89.5,4157.4805
114.5,89.5,4157.4805
115.5,89.5,4157.4805
116.5,89.5,4157.4805
117.5,89.5,4157.4805
118.5,89.5,4188.9766
119.5,89.5,4188.9766
120.5,89.5,4188.9766
121.5,89.5,4188.9766
122.5,89.5,4220.4727
123.5,89.5,4220.4727
124.5,89.5,4220.4727
125.5,89.5,4220.4727
126.5,89.5,4220.4727
