"Reference","added_or_amended","X","coast","Location","Date","Time","Lat","Long","Temp","Sal","Turbidity","sample","bottom","Community_Respiration","Size_fraction_µm","BR_method","Bacterial_Respiratn","BP_method","Bact_prod_filter","Bact_prod_unfil","Bact_prod_filter.1","Bact_prod_unfil.1","BGE","Bact.Abun.filter","Bact.Abun.unfilt","Bact.biomass","DOC","Chl.a","NH4","PO4","NO2","NO3","log10chl","log10no3","log10_bac_prod","Bact_prod_all","log10_bact_prod_all"
"Sand-Jensen,K., Jensen, L.M., Marcher,S., Hansen,M. (1990) Pelagic metabolism in eutrophic coastal waters during a late summer period Marine Ecology Progress Series 65:63-72","Aug 05 - 10 May 06",NA,"coast","Danish Fjord","July-Sept","",55,NA,NA,NA,NA,3,NA,NA,"1","Winkler oxygen",7.5,"thymidine uptake using 1.1 x 10^18 cells mol-1 thymidine, 0.063 um-3 cell-1 and 0.35 pg C um-3",8.6,0,NA,NA,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.934498451243568,8.6,0.934498451243568
"Sand-Jensen,K., Jensen, L.M., Marcher,S., Hansen,M. (1990) Pelagic metabolism in eutrophic coastal waters during a late summer period Marine Ecology Progress Series 65:63-72","Aug 05 - 10 May 06",NA,"coast","Danish Fjord","July-Sept","",55,NA,NA,NA,NA,3,NA,NA,"1","Winkler oxygen",6.375,"thymidine uptake using 1.1 x 10^18 cells mol-1 thymidine, 0.063 um-3 cell-1 and 0.35 pg C um-3",8,0,NA,NA,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.903089986991944,8,0.903089986991944
"Sand-Jensen,K., Jensen, L.M., Marcher,S., Hansen,M. (1990) Pelagic metabolism in eutrophic coastal waters during a late summer period Marine Ecology Progress Series 65:63-72","Aug 05 - 10 May 06",NA,"coast","Danish Fjord","July-Sept","",55,NA,NA,NA,NA,3,NA,NA,"1","Winkler oxygen",10.5,"thymidine uptake using 1.1 x 10^18 cells mol-1 thymidine, 0.063 um-3 cell-1 and 0.35 pg C um-3",7,0,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.845098040014257,7,0.845098040014257
"Sand-Jensen,K., Jensen, L.M., Marcher,S., Hansen,M. (1990) Pelagic metabolism in eutrophic coastal waters during a late summer period Marine Ecology Progress Series 65:63-72","Aug 05 - 10 May 06",NA,"coast","Danish Fjord","July-Sept","",55,NA,NA,NA,NA,3,NA,NA,"1","Winkler oxygen",8.25,"thymidine uptake using 1.1 x 10^18 cells mol-1 thymidine, 0.063 um-3 cell-1 and 0.35 pg C um-3",6.6,0,NA,NA,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.819543935541869,6.6,0.819543935541869
"Sand-Jensen,K., Jensen, L.M., Marcher,S., Hansen,M. (1990) Pelagic metabolism in eutrophic coastal waters during a late summer period Marine Ecology Progress Series 65:63-72","Aug 05 - 10 May 06",NA,"coast","Danish Fjord","July-Sept","",55,NA,NA,NA,NA,3,NA,NA,"1","Winkler oxygen",7.875,"thymidine uptake using 1.1 x 10^18 cells mol-1 thymidine, 0.063 um-3 cell-1 and 0.35 pg C um-3",6.2,0,NA,NA,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.792391689498254,6.2,0.792391689498254
"Sand-Jensen,K., Jensen, L.M., Marcher,S., Hansen,M. (1990) Pelagic metabolism in eutrophic coastal waters during a late summer period Marine Ecology Progress Series 65:63-72","Aug 05 - 10 May 06",NA,"coast","Danish Fjord","July-Sept","",55,NA,NA,NA,NA,3,NA,NA,"1","Winkler oxygen",4.875,"thymidine uptake using 1.1 x 10^18 cells mol-1 thymidine, 0.063 um-3 cell-1 and 0.35 pg C um-3",5.2,0,NA,NA,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.716003343634799,5.2,0.716003343634799
"Sand-Jensen,K., Jensen, L.M., Marcher,S., Hansen,M. (1990) Pelagic metabolism in eutrophic coastal waters during a late summer period Marine Ecology Progress Series 65:63-72","Aug 05 - 10 May 06",NA,"coast","Danish Fjord","July-Sept","",55,NA,NA,NA,NA,3,NA,NA,"1","Winkler oxygen",7.125,"thymidine uptake using 1.1 x 10^18 cells mol-1 thymidine, 0.063 um-3 cell-1 and 0.35 pg C um-3",4.4,0,NA,NA,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.643452676486187,4.4,0.643452676486187
"Lee, C.W., Kudo, I.., Yokokawa, T., Yanada, M., Maita, Y. (2002) Dynamics of bacterial respiration and related growth efficiency, dissolved nutrients and dissolved oxygen concentration in a subarctic coastal embayment. Mar. Freshwater Res., 53, 1-7 ","Aug 05 - 10 May 06",NA,"coast","Funka Bay, Japan","Jun-98","",42.27,140.6,12,NA,NA,10,92,NA,"0.7","Winkler oxygen",9.258,"increase in bacterial POC using 15 fg C cell-1",0.425,0,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.371611069949688,0.425,-0.371611069949688
"Lee, C.W., Kudo, I.., Yokokawa, T., Yanada, M., Maita, Y. (2002) Dynamics of bacterial respiration and related growth efficiency, dissolved nutrients and dissolved oxygen concentration in a subarctic coastal embayment. Mar. Freshwater Res., 53, 1-7 ","Aug 05 - 10 May 06",NA,"coast","Funka Bay, Japan","Jul-98","",42.27,140.6,16,NA,NA,10,92,NA,"0.7","Winkler oxygen",4.972,"increase in bacterial POC using 15 fg C cell-1",0.183,0,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.737548910269571,0.183,-0.737548910269571
"Lee, C.W., Kudo, I.., Yokokawa, T., Yanada, M., Maita, Y. (2002) Dynamics of bacterial respiration and related growth efficiency, dissolved nutrients and dissolved oxygen concentration in a subarctic coastal embayment. Mar. Freshwater Res., 53, 1-7 ","Aug 05 - 10 May 06",NA,"coast","Funka Bay, Japan","Aug-98","",42.27,140.6,20,NA,NA,10,92,NA,"0.7","Winkler oxygen",3.314,"increase in bacterial POC using 15 fg C cell-1",0.69,0,NA,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.161150909262745,0.69,-0.161150909262745
"Lee, C.W., Kudo, I.., Yokokawa, T., Yanada, M., Maita, Y. (2002) Dynamics of bacterial respiration and related growth efficiency, dissolved nutrients and dissolved oxygen concentration in a subarctic coastal embayment. Mar. Freshwater Res., 53, 1-7 ","Aug 05 - 10 May 06",NA,"coast","Funka Bay, Japan","Aug-98","",42.27,140.6,4,NA,NA,90,92,NA,"0.7","Winkler oxygen",1.6,"increase in bacterial POC using 15 fg C cell-1",0.024,0,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.61978875828839,0.024,-1.61978875828839
"Lee, C.W., Kudo, I.., Yokokawa, T., Yanada, M., Maita, Y. (2002) Dynamics of bacterial respiration and related growth efficiency, dissolved nutrients and dissolved oxygen concentration in a subarctic coastal embayment. Mar. Freshwater Res., 53, 1-7 ","Aug 05 - 10 May 06",NA,"coast","Funka Bay, Japan","Nov-98","",42.27,140.6,15,NA,NA,10,92,NA,"0.7","Winkler oxygen",5.776,"increase in bacterial POC using 15 fg C cell-1",0.094,0,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.0268721464003,0.094,-1.0268721464003
"Lee, C.W., Kudo, I.., Yokokawa, T., Yanada, M., Maita, Y. (2002) Dynamics of bacterial respiration and related growth efficiency, dissolved nutrients and dissolved oxygen concentration in a subarctic coastal embayment. Mar. Freshwater Res., 53, 1-7 ","Aug 05 - 10 May 06",NA,"coast","Funka Bay, Japan","Feb-99","",42.27,140.6,3,NA,NA,90,92,NA,"0.7","Winkler oxygen",0.836,"increase in bacterial POC using 15 fg C cell-1",0.258,0,NA,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.58838029403677,0.258,-0.58838029403677
"Lee, C.W., Kudo, I.., Yokokawa, T., Yanada, M., Maita, Y. (2002) Dynamics of bacterial respiration and related growth efficiency, dissolved nutrients and dissolved oxygen concentration in a subarctic coastal embayment. Mar. Freshwater Res., 53, 1-7 ","Aug 05 - 10 May 06",NA,"coast","Funka Bay, Japan","Mar-99","",42.27,140.6,4,NA,NA,10,92,NA,"0.7","Winkler oxygen",0.569,"increase in bacterial POC using 15 fg C cell-1",0.059,0,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.22914798835786,0.059,-1.22914798835786
"Lee, C.W., Kudo, I.., Yokokawa, T., Yanada, M., Maita, Y. (2002) Dynamics of bacterial respiration and related growth efficiency, dissolved nutrients and dissolved oxygen concentration in a subarctic coastal embayment. Mar. Freshwater Res., 53, 1-7 ","Aug 05 - 10 May 06",NA,"coast","Funka Bay, Japan","May-99","",42.27,140.6,12,NA,NA,10,92,NA,"0.7","Winkler oxygen",2.974,"increase in bacterial POC using 15 fg C cell-1",0.423,0,NA,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.373659632624958,0.423,-0.373659632624958
"Lee, C.W., Kudo, I.., Yokokawa, T., Yanada, M., Maita, Y. (2002) Dynamics of bacterial respiration and related growth efficiency, dissolved nutrients and dissolved oxygen concentration in a subarctic coastal embayment. Mar. Freshwater Res., 53, 1-7 ","Aug 05 - 10 May 06",NA,"coast","Funka Bay, Japan","May-99","",42.27,140.6,4,NA,NA,90,92,NA,"0.7","Winkler oxygen",2.578,"increase in bacterial POC using 15 fg C cell-1",0.066,0,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.18045606445813,0.066,-1.18045606445813
"Lee, C.W., Kudo, I.., Yokokawa, T., Yanada, M., Maita, Y. (2002) Dynamics of bacterial respiration and related growth efficiency, dissolved nutrients and dissolved oxygen concentration in a subarctic coastal embayment. Mar. Freshwater Res., 53, 1-7 ","Aug 05 - 10 May 06",NA,"coast","Funka Bay, Japan","Jun-99","",42.27,140.6,13,NA,NA,10,92,NA,"0.7","Winkler oxygen",3.062,"increase in bacterial POC using 15 fg C cell-1",0.114,0,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.943095148663527,0.114,-0.943095148663527
"Lee, C.W., Kudo, I.., Yokokawa, T., Yanada, M., Maita, Y. (2002) Dynamics of bacterial respiration and related growth efficiency, dissolved nutrients and dissolved oxygen concentration in a subarctic coastal embayment. Mar. Freshwater Res., 53, 1-7 ","Aug 05 - 10 May 06",NA,"coast","Funka Bay, Japan","Jun-99","",42.27,140.6,4,NA,NA,90,92,NA,"0.7","Winkler oxygen",5.009,"increase in bacterial POC using 15 fg C cell-1",0.07,0,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.15490195998574,0.07,-1.15490195998574
"Lee, C.W., Kudo, I.., Yokokawa, T., Yanada, M., Maita, Y. (2002) Dynamics of bacterial respiration and related growth efficiency, dissolved nutrients and dissolved oxygen concentration in a subarctic coastal embayment. Mar. Freshwater Res., 53, 1-7 ","Aug 05 - 10 May 06",NA,"coast","Funka Bay, Japan","Jul-99","",42.27,140.6,16,NA,NA,10,92,NA,"0.7","Winkler oxygen",6.929,"increase in bacterial POC using 15 fg C cell-1",0.211,0,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.675717544702307,0.211,-0.675717544702307
"Lee, C.W., Kudo, I.., Yokokawa, T., Yanada, M., Maita, Y. (2002) Dynamics of bacterial respiration and related growth efficiency, dissolved nutrients and dissolved oxygen concentration in a subarctic coastal embayment. Mar. Freshwater Res., 53, 1-7 ","Aug 05 - 10 May 06",NA,"coast","Funka Bay, Japan","Jul-99","",42.27,140.6,4,NA,NA,90,92,NA,"0.7","Winkler oxygen",1.123,"increase in bacterial POC using 15 fg C cell-1",0.062,0,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.20760831050175,0.062,-1.20760831050175
"Lee, C.W., Kudo, I.., Yokokawa, T., Yanada, M., Maita, Y. (2002) Dynamics of bacterial respiration and related growth efficiency, dissolved nutrients and dissolved oxygen concentration in a subarctic coastal embayment. Mar. Freshwater Res., 53, 1-7 ","Aug 05 - 10 May 06",NA,"coast","Funka Bay, Japan","Aug-99","",42.27,140.6,20,NA,NA,10,92,NA,"0.7","Winkler oxygen",5.924,"increase in bacterial POC using 15 fg C cell-1",0.6,0,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.221848749616356,0.6,-0.221848749616356
"Lee, C.W., Kudo, I.., Yokokawa, T., Yanada, M., Maita, Y. (2002) Dynamics of bacterial respiration and related growth efficiency, dissolved nutrients and dissolved oxygen concentration in a subarctic coastal embayment. Mar. Freshwater Res., 53, 1-7 ","Aug 05 - 10 May 06",NA,"coast","Funka Bay, Japan","Aug-99","",42.27,140.6,4,NA,NA,90,92,NA,"0.7","Winkler oxygen",0.938,"increase in bacterial POC using 15 fg C cell-1",0.081,0,NA,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.09151498112135,0.081,-1.09151498112135
"Lee, C.W., Kudo, I.., Yokokawa, T., Yanada, M., Maita, Y. (2002) Dynamics of bacterial respiration and related growth efficiency, dissolved nutrients and dissolved oxygen concentration in a subarctic coastal embayment. Mar. Freshwater Res., 53, 1-7 ","Aug 05 - 10 May 06",NA,"coast","Funka Bay, Japan","Dec-99","",42.27,140.6,9,NA,NA,10,92,NA,"0.7","Winkler oxygen",7.504,"increase in bacterial POC using 15 fg C cell-1",0.284,0,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.546681659952962,0.284,-0.546681659952962
"Lee, C.W., Kudo, I.., Yokokawa, T., Yanada, M., Maita, Y. (2002) Dynamics of bacterial respiration and related growth efficiency, dissolved nutrients and dissolved oxygen concentration in a subarctic coastal embayment. Mar. Freshwater Res., 53, 1-7 ","Aug 05 - 10 May 06",NA,"coast","Funka Bay, Japan","Dec-99","",42.27,140.6,9,NA,NA,90,92,NA,"0.7","Winkler oxygen",1.526,"increase in bacterial POC using 15 fg C cell-1",0.053,0,NA,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.27572413039921,0.053,-1.27572413039921
"Carlson,C.A., Bates,N.R., Ducklow,H.W., Hansell,D.A. (1999) Estimation of bacterial respiration and growth efficiency in the Ross Sea Antarctica. Aquatic Microbial Ecology 19:229-244","Aug 05 - 10 May 06",NA,"ocean","Ross Sea","24-Dec-95","",-76.5,177.69,0,NA,NA,5,NA,NA,"0.8","DIC",0.52,"",0,0,NA,NA,0.09,NA,NA,NA,43.8,8.6,NA,NA,NA,NA,0.934498451243568,NA,NA,NA,NA
"Carlson,C.A., Bates,N.R., Ducklow,H.W., Hansell,D.A. (1999) Estimation of bacterial respiration and growth efficiency in the Ross Sea Antarctica. Aquatic Microbial Ecology 19:229-244","Aug 05 - 10 May 06",NA,"ocean","Ross Sea","24-Dec-95","",-76.5,177.69,2,NA,NA,5,NA,NA,"0.8","DIC",0.48,"",0,0,NA,NA,0.09,NA,NA,NA,43.8,8.6,NA,NA,NA,NA,0.934498451243568,NA,NA,NA,NA
"Carlson,C.A., Bates,N.R., Ducklow,H.W., Hansell,D.A. (1999) Estimation of bacterial respiration and growth efficiency in the Ross Sea Antarctica. Aquatic Microbial Ecology 19:229-244","Aug 05 - 10 May 06",NA,"ocean","Ross Sea","29-Dec-95","",-76.5,164.96,0,NA,NA,10,NA,NA,"0.8","DIC",0.39,"",0,0,NA,NA,0.19,NA,NA,NA,47.8,3.5,NA,NA,NA,NA,0.544068044350276,NA,NA,NA,NA
"Carlson,C.A., Bates,N.R., Ducklow,H.W., Hansell,D.A. (1999) Estimation of bacterial respiration and growth efficiency in the Ross Sea Antarctica. Aquatic Microbial Ecology 19:229-244","Aug 05 - 10 May 06",NA,"ocean","Ross Sea","7-Jan-96","",-76.5,168.47,0,NA,NA,15,NA,NA,"0.8","DIC",0.49,"",0,0,NA,NA,0.19,NA,NA,NA,54.4,3.1,NA,NA,NA,NA,0.491361693834273,NA,NA,NA,NA
"Carlson,C.A., Bates,N.R., Ducklow,H.W., Hansell,D.A. (1999) Estimation of bacterial respiration and growth efficiency in the Ross Sea Antarctica. Aquatic Microbial Ecology 19:229-244","Aug 05 - 10 May 06",NA,"ocean","Ross Sea","17-Jan-97","",-76.5,176,0,NA,NA,10,NA,NA,"0.8","DIC",0.55,"",0,0,NA,NA,0.32,NA,NA,NA,61.6,6.1,NA,NA,NA,NA,0.785329835010767,NA,NA,NA,NA
"Carlson,C.A., Bates,N.R., Ducklow,H.W., Hansell,D.A. (1999) Estimation of bacterial respiration and growth efficiency in the Ross Sea Antarctica. Aquatic Microbial Ecology 19:229-244","Aug 05 - 10 May 06",NA,"ocean","Ross Sea","23-Jan-97","",-76.5,176,0,NA,NA,10,NA,NA,"0.8","DIC",0.21,"",0,0,NA,NA,0.38,NA,NA,NA,66.7,4.8,NA,NA,NA,NA,0.681241237375587,NA,NA,NA,NA
"Carlson, C.A. and Ducklow,H.W. 1996. Growth of bacterioplanktonand consumption of dissolved organic carbon in the Sargasso Sea. Aquatic Microbial Ecology 10:69-85","Aug 05 - 10 May 06",NA,"ocean","Sargasso Sea","Jul-92","",32,-64.5,24,NA,NA,10,1000,NA,"0.8","DOC - POC",2,"increase in bacterial POC and 0.12 pg C um-3",0.38,0,NA,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.42021640338319,0.38,-0.42021640338319
"Carlson, C.A. and Ducklow,H.W. 1996. Growth of bacterioplanktonand consumption of dissolved organic carbon in the Sargasso Sea. Aquatic Microbial Ecology 10:69-85","Aug 05 - 10 May 06",NA,"ocean","Sargasso Sea","Jan-94","",32,-64.5,20,NA,NA,10,1000,NA,"0.8","DOC-POC",1.3,"increase in bacterial POC and 0.12 pg C um-3",0.07,0,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.15490195998574,0.07,-1.15490195998574
"Hansell, D.A., Bates,N.R., Gundersen,K. 1995. Mineralization of dissolved organic carbon in the Sargasso Sea. Marine Chemistry 51:201-212","Aug 05 - 10 May 06",NA,"ocean","Sargasso Sea","Sep-93","",32,-64.5,20,NA,NA,20,1000,NA,"0.8","DIC",0.45,"thymidine uptake and 1.7 x 10^18 cells mol-1 thymidine and 9 fg C cell-1",0.044,0,NA,NA,0.089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.35654732351381,0.044,-1.35654732351381
"Hansell, D.A., Bates,N.R., Gundersen,K. 1995. Mineralization of dissolved organic carbon in the Sargasso Sea. Marine Chemistry 51:201-212","Aug 05 - 10 May 06",NA,"ocean","Sargasso Sea","Nov-93","",32,-64.5,20,NA,NA,20,1000,NA,"0.8","DIC",0.44,"thymidine uptake and 1.7 x 10^18 cells mol-1 thymidine and 9 fg C cell-1",0.033,0,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.48148606012211,0.033,-1.48148606012211
"Hansell, D.A., Bates,N.R., Gundersen,K. 1995. Mineralization of dissolved organic carbon in the Sargasso Sea. Marine Chemistry 51:201-212","Aug 05 - 10 May 06",NA,"ocean","Sargasso Sea","Apr-94","",32,-64.5,20,NA,NA,20,1000,NA,"0.8","DIC",0.45,"thymidine uptake and 1.7 x 10^18 cells mol-1 thymidine and 9 fg C cell-1",0.018,0,NA,NA,0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.74472749489669,0.018,-1.74472749489669
"Kirchman,D.L. Suzuki,Y., Garside,C. Ducklow,HW 1991 High turnover rates of dissolved organic carbon during a spring phytoplankton bloom","Aug 05 - 10 May 06",NA,"ocean","N Atlantic","25-May","",47,-18,14,NA,NA,NA,NA,NA,"0.8","DOC-POC",14.03,"increase in bacterial POC",0.73,0,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.136677139879544,0.73,-0.136677139879544
"Kirchman,D.L. Suzuki,Y., Garside,C. Ducklow,HW 1991 High turnover rates of dissolved organic carbon during a spring phytoplankton bloom","Aug 05 - 10 May 06",NA,"ocean","N Atlantic","28-May","",47,-18,14,NA,NA,NA,NA,NA,"0.8","DOC-POC",12.58,"increase in bacterial POC",0.75,0,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1249387366083,0.75,-0.1249387366083
"Kirchman,D.L. Suzuki,Y., Garside,C. Ducklow,HW 1991 High turnover rates of dissolved organic carbon during a spring phytoplankton bloom","Aug 05 - 10 May 06",NA,"ocean","N Atlantic","31-May","",47,-18,14,NA,NA,NA,NA,NA,"0.8","DOC-POC",9.9,"increase in bacterial POC",0.43,0,NA,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.366531544420413,0.43,-0.366531544420413
"Briand,E., Pringault,O., Jacquet,S., Torreton,J.P. 2004 The use of oxygen microprobes to measure bacterial respiration for determining bacterioplankton growth efficiency Limnology and Oceanography: Methods 2 406-416","Aug 05 - 10 May 06",NA,"coast","S Pacific","3-Mar-03","",-22.26,166.44,29.13,33.291,NA,NA,6.5,NA,"0.6","oxygen microprobe",20.6,"increase in bacterial POC and 20 fg C cell-1",0,0,NA,NA,0.01,NA,NA,NA,NA,1.37,NA,NA,NA,NA,0.136720567156407,NA,NA,NA,NA
"Briand,E., Pringault,O., Jacquet,S., Torreton,J.P. 2004 The use of oxygen microprobes to measure bacterial respiration for determining bacterioplankton growth efficiency Limnology and Oceanography: Methods 2 406-416","Aug 05 - 10 May 06",NA,"coast","S Pacific","6-Mar-03","",-22.26,166.44,27.71,35.317,NA,NA,6.5,NA,"0.6","oxygen microprobe",40.2,"increase in bacterial POC and 20 fg C cell-1",3.89,0,NA,NA,0.01,0.68,NA,NA,NA,1.08,NA,NA,NA,NA,0.0334237554869497,NA,0.589949601325708,3.89,0.589949601325708
"Briand,E., Pringault,O., Jacquet,S., Torreton,J.P. 2004 The use of oxygen microprobes to measure bacterial respiration for determining bacterioplankton growth efficiency Limnology and Oceanography: Methods 2 406-416","Aug 05 - 10 May 06",NA,"coast","S Pacific","31-Mar-03","",-22.26,166.44,27.25,35.325,NA,NA,6.5,NA,"0.6","oxygen microprobe",56.6,"increase in bacterial POC and 20 fg C cell-1",9.7,0,NA,NA,0.02,0.73,NA,NA,NA,1.46,NA,NA,NA,NA,0.164352855784437,NA,0.986771734266245,9.7,0.986771734266245
"Briand,E., Pringault,O., Jacquet,S., Torreton,J.P. 2004 The use of oxygen microprobes to measure bacterial respiration for determining bacterioplankton growth efficiency Limnology and Oceanography: Methods 2 406-416","Aug 05 - 10 May 06",NA,"coast","S Pacific","6-Mar-03","",-22.26,166.44,27.5,35.325,NA,NA,6.5,NA,"0.6","oxygen microprobe",42.6,"increase in bacterial POC and 20 fg C cell-1",3.56,0,NA,NA,0.02,0.71,NA,NA,NA,1.08,NA,NA,NA,NA,0.0334237554869497,NA,0.551449997972875,3.56,0.551449997972875
"Briand,E., Pringault,O., Jacquet,S., Torreton,J.P. 2004 The use of oxygen microprobes to measure bacterial respiration for determining bacterioplankton growth efficiency Limnology and Oceanography: Methods 2 406-416","Aug 05 - 10 May 06",NA,"coast","S Pacific","2-Apr-03","",-22.26,166.42,26.96,35.271,NA,NA,13,NA,"0.6","oxygen microprobe",13.4,"increase in bacterial POC and 20 fg C cell-1",2.58,0,NA,NA,0.08,0.88,NA,NA,NA,0.89,NA,NA,NA,NA,-0.0506099933550872,NA,0.41161970596323,2.58,0.41161970596323
"Briand,E., Pringault,O., Jacquet,S., Torreton,J.P. 2004 The use of oxygen microprobes to measure bacterial respiration for determining bacterioplankton growth efficiency Limnology and Oceanography: Methods 2 406-416","Aug 05 - 10 May 06",NA,"coast","S Pacific","3-Apr-03","",-22.26,166.41,26.72,35.301,NA,NA,15.8,NA,"0.6","oxygen microprobe",7.2,"increase in bacterial POC and 20 fg C cell-1",1.92,0,NA,NA,0.08,1.07,NA,NA,NA,0.61,NA,NA,NA,NA,-0.214670164989233,NA,0.28330122870355,1.92,0.28330122870355
"Briand,E., Pringault,O., Jacquet,S., Torreton,J.P. 2004 The use of oxygen microprobes to measure bacterial respiration for determining bacterioplankton growth efficiency Limnology and Oceanography: Methods 2 406-416","Aug 05 - 10 May 06",NA,"coast","S Pacific","4-Apr-03","",-22.25,166.39,26.73,35.263,NA,NA,17,NA,"0.6","oxygen microprobe",7.9,"increase in bacterial POC and 20 fg C cell-1",2.8,0,NA,NA,0.07,0.92,NA,NA,NA,0.43,NA,NA,NA,NA,-0.366531544420413,NA,0.447158031342219,2.8,0.447158031342219
"Briand,E., Pringault,O., Jacquet,S., Torreton,J.P. 2004 The use of oxygen microprobes to measure bacterial respiration for determining bacterioplankton growth efficiency Limnology and Oceanography: Methods 2 406-416","Aug 05 - 10 May 06",NA,"coast","S Pacific","18-Mar-03","",-22.26,166.35,26.5,35.134,NA,NA,25.2,NA,"0.6","oxygen microprobe",13.9,"increase in bacterial POC and 20 fg C cell-1",1.8,0,NA,NA,0.01,1.36,NA,NA,NA,1.33,NA,NA,NA,NA,0.123851640967086,NA,0.255272505103306,1.8,0.255272505103306
"Briand,E., Pringault,O., Jacquet,S., Torreton,J.P. 2004 The use of oxygen microprobes to measure bacterial respiration for determining bacterioplankton growth efficiency Limnology and Oceanography: Methods 2 406-416","Aug 05 - 10 May 06",NA,"coast","S Pacific","21-Mar-03","",-22.28,166.33,26.11,35.245,NA,NA,33,NA,"0.6","oxygen microprobe",15.6,"increase in bacterial POC and 20 fg C cell-1",1.26,0,NA,NA,0.03,1.27,NA,NA,NA,0.44,NA,NA,NA,NA,-0.356547323513813,NA,0.100370545117563,1.26,0.100370545117563
"Briand,E., Pringault,O., Jacquet,S., Torreton,J.P. 2004 The use of oxygen microprobes to measure bacterial respiration for determining bacterioplankton growth efficiency Limnology and Oceanography: Methods 2 406-416","Aug 05 - 10 May 06",NA,"coast","S Pacific","20-Mar-03","",-22.31,166.3,26.27,35.216,NA,NA,15.5,NA,"0.6","oxygen microprobe",8.2,"increase in bacterial POC and 20 fg C cell-1",1.16,0,NA,NA,0.05,0.83,NA,NA,NA,0.66,NA,NA,NA,NA,-0.180456064458131,NA,0.0644579892269184,1.16,0.0644579892269184
"Briand,E., Pringault,O., Jacquet,S., Torreton,J.P. 2004 The use of oxygen microprobes to measure bacterial respiration for determining bacterioplankton growth efficiency Limnology and Oceanography: Methods 2 406-416","Aug 05 - 10 May 06",NA,"coast","S Pacific","19-Mar-03","",-22.33,166.28,25.6,35.281,NA,NA,28.5,NA,"0.6","oxygen microprobe",16.1,"increase in bacterial POC and 20 fg C cell-1",1.44,0,NA,NA,0.02,0.91,NA,NA,NA,0.87,NA,NA,NA,NA,-0.0604807473813815,NA,0.15836249209525,1.44,0.15836249209525
"Briand,E., Pringault,O., Jacquet,S., Torreton,J.P. 2004 The use of oxygen microprobes to measure bacterial respiration for determining bacterioplankton growth efficiency Limnology and Oceanography: Methods 2 406-416","Aug 05 - 10 May 06",NA,"coast","S Pacific","12-Mar-03","",-22.33,166.28,27.31,35.38,NA,NA,28.5,NA,"0.6","oxygen microprobe",14.4,"increase in bacterial POC and 20 fg C cell-1",0.22,0,NA,NA,0.02,1.18,NA,NA,NA,0.54,NA,NA,NA,NA,-0.267606240177031,NA,-0.657577319177794,0.22,-0.657577319177794
